City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,taroa,8.7058,171.2275,27.76,81,51,6.66,MH,1684449007
351,rio grande,-32.035,-52.0986,18.06,87,3,2.56,BR,1684449007
352,macau,22.2006,113.5461,28.81,100,75,1.54,MO,1684449007
353,kuta,-8.7233,115.1723,23.97,94,20,2.24,ID,1684449007
354,bouarfa,32.53,-1.95,11.84,70,96,10.22,MA,1684449008
355,onguday,50.75,86.15,0.08,80,29,0.58,RU,1684448780
356,valchedram,43.6964,23.4447,12.67,87,96,4.17,BG,1684449008
357,gisborne,-38.6533,178.0042,14.43,89,100,9.96,NZ,1684449008
358,aswan,24.0934,32.907,26.23,18,0,8.16,EG,1684449008
359,araure,9.5601,-69.2148,28.75,66,98,0.96,VE,1684449009
360,luderitz,-26.6481,15.1594,11.2,68,0,7.41,NA,1684449009
361,prado,-17.3411,-39.2208,23.09,68,98,4.67,BR,1684448810
362,uliastay,47.7417,96.8444,-3.97,48,11,0.9,MN,1684449009
363,sheridan,44.8333,-106.9173,18.72,36,20,6.69,US,1684449009
